INFO:Worker:Starting Worker
INFO:Worker:Starting Worker
INFO:Worker:Starting Worker
INFO:Worker:Starting Worker
INFO:root:episode     0 complete - reward(new:  556, avg:  291, best:  793)
INFO:root:episode     0 complete - reward(new:  229, avg:  291, best:  793)
INFO:root:episode     0 complete - reward(new:  833, avg:  296, best:  833)
INFO:root:episode     0 complete - reward(new:   51, avg:  294, best:  833)
INFO:root:episode     0 complete - reward(new:  113, avg:  292, best:  833)
INFO:root:episode     0 complete - reward(new:  145, avg:  290, best:  833)
INFO:root:episode     0 complete - reward(new:  185, avg:  289, best:  833)
INFO:root:episode     0 complete - reward(new:  204, avg:  288, best:  833)
INFO:root:episode     0 complete - reward(new:  392, avg:  289, best:  833)
INFO:root:episode     0 complete - reward(new:   78, avg:  287, best:  833)
INFO:root:episode     0 complete - reward(new:  210, avg:  286, best:  833)
INFO:root:episode     0 complete - reward(new:  376, avg:  287, best:  833)
INFO:root:episode     0 complete - reward(new:  163, avg:  286, best:  833)
INFO:root:episode     0 complete - reward(new:  214, avg:  285, best:  833)
INFO:root:episode     0 complete - reward(new:  318, avg:  286, best:  833)
INFO:root:episode     0 complete - reward(new:  237, avg:  285, best:  833)
INFO:root:episode     0 complete - reward(new:  478, avg:  287, best:  833)
INFO:root:episode     0 complete - reward(new:  497, avg:  289, best:  833)
INFO:root:episode     0 complete - reward(new:  556, avg:  292, best:  833)
INFO:root:episode     0 complete - reward(new:  353, avg:  293, best:  833)
INFO:root:episode     0 complete - reward(new:  246, avg:  292, best:  833)
INFO:root:episode     0 complete - reward(new:  308, avg:  292, best:  833)
INFO:root:episode     0 complete - reward(new:  143, avg:  291, best:  833)
INFO:root:episode     0 complete - reward(new:   94, avg:  289, best:  833)
INFO:root:episode     0 complete - reward(new:  394, avg:  290, best:  833)
INFO:root:episode     0 complete - reward(new:  166, avg:  289, best:  833)
INFO:root:episode     0 complete - reward(new:  133, avg:  287, best:  833)
INFO:root:episode     0 complete - reward(new:  231, avg:  286, best:  833)
INFO:root:episode     0 complete - reward(new:  156, avg:  285, best:  833)
INFO:root:episode     0 complete - reward(new:  296, avg:  285, best:  833)
INFO:root:episode     0 complete - reward(new:  416, avg:  287, best:  833)
INFO:root:episode     0 complete - reward(new:  383, avg:  288, best:  833)
INFO:root:episode     0 complete - reward(new:  299, avg:  288, best:  833)
INFO:root:episode     0 complete - reward(new:  264, avg:  287, best:  833)
INFO:root:episode     0 complete - reward(new:  366, avg:  288, best:  833)
INFO:root:episode     0 complete - reward(new:  249, avg:  288, best:  833)
INFO:root:episode     0 complete - reward(new:  265, avg:  288, best:  833)
INFO:root:episode     0 complete - reward(new:  410, avg:  289, best:  833)
INFO:root:episode     0 complete - reward(new:  682, avg:  293, best:  833)
INFO:root:episode     0 complete - reward(new:  201, avg:  292, best:  833)
INFO:root:episode     0 complete - reward(new:  185, avg:  291, best:  833)
INFO:root:episode     0 complete - reward(new:  219, avg:  290, best:  833)
INFO:root:episode     0 complete - reward(new:  359, avg:  291, best:  833)
INFO:root:episode     0 complete - reward(new:  292, avg:  291, best:  833)
INFO:root:episode     0 complete - reward(new:  360, avg:  291, best:  833)
INFO:root:episode     0 complete - reward(new:  155, avg:  290, best:  833)
INFO:root:episode     0 complete - reward(new:  268, avg:  290, best:  833)
INFO:root:episode     0 complete - reward(new:  268, avg:  290, best:  833)
INFO:root:episode     0 complete - reward(new:  247, avg:  289, best:  833)
INFO:root:episode     0 complete - reward(new:  185, avg:  288, best:  833)
INFO:root:episode     0 complete - reward(new:  756, avg:  293, best:  833)
INFO:root:episode     0 complete - reward(new:  210, avg:  292, best:  833)
